,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
75,75,dtls1_read_bytes_ssl%d1_pkt_103b171d8fc282ef435f8de9afbf7782e312961f_CVE-2015-0206,683,124.0,1921,299.0,4,75,2,14,5,46,19,207,166,3,0,0,26.0,0.0,1.5,0.5,0.5,True,ssl/d1_pkt.c,dtls1_read_bytes,68,474,45,152,1,2015
76,76,dtls1_process_buffered_records_ssl%d1_pkt_103b171d8fc282ef435f8de9afbf7782e312961f_CVE-2015-0206,34,5.0,1921,299.0,3,75,1,14,1,1,19,11,7,0,0,0,58.0,0.3,10.0,1.4,1.4,True,ssl/d1_pkt.c,dtls1_process_buffered_records,0,32,53,152,351,2015
77,77,X509_to_X509_REQ_crypto%x509%x509_req_28a00bcd8e318da18031b2ac8778c64147cd54f9_CVE-2015-0288,40,7.0,326,56.0,8,22,3,7,3,4,16,1,6,1,0,0,55.66666666666666,0.2,10.666666666666666,0.8333333333333334,0.8333333333333334,True,crypto/x509/x509_req.c,X509_to_X509_REQ,4,38,848,7132,106,2015
78,78,rsa_item_verify_crypto%rsa%rsa_ameth_4b22cce3812052fe64fc3f6d58d8cc884e3cb834_CVE-2015-0208,19,3.0,958,215.0,4,28,2,6,6,0,32,6,4,0,0,0,52.5,0.15,6.0,1.2,1.2,True,crypto/rsa/rsa_ameth.c,rsa_item_verify,15,97,848,7132,125,2015
79,79,dtls1_get_record_ssl%d1_pkt_103b171d8fc282ef435f8de9afbf7782e312961f_CVE-2015-0206,205,26.0,1921,299.0,10,75,4,14,1,11,19,82,31,0,0,0,57.75,0.6499999999999999,9.0,1.875,1.875,True,ssl/d1_pkt.c,dtls1_get_record,22,150,53,152,71,2015
80,80,dtls1_process_record_ssl%d1_pkt_103b171d8fc282ef435f8de9afbf7782e312961f_CVE-2015-0206,186,21.0,1921,299.0,8,75,3,14,1,14,19,74,9,1,0,0,41.0,0.1,8.333333333333334,0.3666666666666667,0.3666666666666667,True,ssl/d1_pkt.c,dtls1_process_record,50,147,45,152,8,2015
81,81,d2i_ECPrivateKey_crypto%ec%ec_asn1_1b4a8df38fc9ab3c089ca5765075ee53ec5bd66a_CVE-2015-0209,92,19.0,1273,254.0,8,24,3,6,3,10,27,3,6,1,0,0,25.66666666666667,0.1,4.666666666666667,0.4666666666666666,0.4666666666666666,True,crypto/ec/ec_asn1.c,d2i_ECPrivateKey,99,103,848,7132,24,2015
82,82,dtls1_buffer_record_ssl%d1_pkt_103b171d8fc282ef435f8de9afbf7782e312961f_CVE-2015-0206,68,11.0,1921,299.0,4,75,3,14,3,2,19,9,6,0,0,0,57.66666666666666,0.7666666666666666,8.666666666666666,2.033333333333333,2.033333333333333,True,ssl/d1_pkt.c,dtls1_buffer_record,9,40,22,152,4,2015
83,83,ssl3_client_hello_ssl%s3_clnt_e1b568dd2462f7cacf98f3d117936c34e2849a6b_CVE-2015-0285,229,29.0,3515,561.0,45,248,10,23,1,18,17,82,35,2,0,0,66.9,2.0490705128205127,9.1,5.19125,5.19125,True,ssl/s3_clnt.c,ssl3_client_hello,42,198,848,7132,1,2015
84,84,ssl3_get_key_exchange_ssl%s3_clnt_ce325c60c74b0fa784f5872404b722e120e5cab0_CVE-2015-0204,708,100.0,3726,550.0,40,237,7,22,1,46,17,97,59,4,0,0,37.285714285714285,0.11273115306728752,38.285714285714285,0.9810069482338388,0.9810069482338388,True,ssl/s3_clnt.c,ssl3_get_key_exchange,133,158,490,2269,1,2015
85,85,PKCS7_dataFinal_crypto%pkcs7%pk7_doit_c0334c2c92dd1bc3ad8138ba6e74006c3631b0f9_CVE-2015-0289,159,29.0,1221,241.0,39,89,5,11,2,20,19,23,11,1,0,0,39.0,0.12,7.4,0.5,0.5,True,crypto/pkcs7/pk7_doit.c,PKCS7_dataFinal,29,145,848,7132,125,2015
86,86,PKCS7_dataVerify_crypto%pkcs7%pk7_doit_c0334c2c92dd1bc3ad8138ba6e74006c3631b0f9_CVE-2015-0289,54,6.0,1221,241.0,13,89,5,11,5,5,19,9,5,0,0,0,40.8,0.12,7.8,0.5,0.5,True,crypto/pkcs7/pk7_doit.c,PKCS7_dataVerify,12,45,848,7132,30,2015
87,87,PKCS7_dataInit_crypto%pkcs7%pk7_doit_c0334c2c92dd1bc3ad8138ba6e74006c3631b0f9_CVE-2015-0289,140,36.0,1221,241.0,32,89,4,11,2,29,19,3,8,0,0,0,47.5,0.15,9.0,0.625,0.625,True,crypto/pkcs7/pk7_doit.c,PKCS7_dataInit,18,132,848,7132,125,2015
88,88,ssl3_accept_ssl%s3_srvr_ce325c60c74b0fa784f5872404b722e120e5cab0_CVE-2015-0204,727,139.0,3722,555.0,89,289,9,24,1,17,16,167,83,1,0,0,36.333333333333336,0.2961038961038961,14.111111111111107,1.237950937950938,1.237950937950938,True,ssl/s3_srvr.c,ssl3_accept,36,37,490,2269,2,2015
89,89,PKCS7_dataDecode_crypto%pkcs7%pk7_doit_c0334c2c92dd1bc3ad8138ba6e74006c3631b0f9_CVE-2015-0289,271,46.0,1221,241.0,31,89,5,11,4,50,19,40,16,1,0,0,39.0,0.12,7.4,0.5,0.5,True,crypto/pkcs7/pk7_doit.c,PKCS7_dataDecode,45,243,848,7132,1,2015
