,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
2177,1251,media_device_enum_entities_drivers%media%media-device_e6a623460e5fc960ac3ee9f946d3106233fd28d8_CVE-2014-1739,33.0,5.0,466.0,62.0,4.0,13.0,2.0,7.0,2.0,2.0,19.0,0.0,2.0,0.0,0.0,0.0,8.5,0.16666666666666666,5.0,0.5,0.5,True,drivers/media/media-device.c,media_device_enum_entities,6,30,3,5,531,2014
2178,1252,xfs_ioctl_setattr_fs%xfs%xfs_ioctl_23adbe12ef7d3d4195e80800ab36b37bee28cd03_CVE-2014-4014,255.0,50.0,1816.0,371.0,6.0,43.0,3.0,14.0,3.0,19.0,32.0,83.0,63.0,1.0,0.0,0.0,20.33333333333333,0.4502923976608187,14.0,2.0263157894736845,2.0263157894736845,True,fs/xfs/xfs_ioctl.c,xfs_ioctl_setattr,7,9,19,48,6,2014
2180,1254,futex_wait_requeue_pi_kernel%futex_e9c243a5a6de0be8e584c604d353412584b592f8_CVE-2014-3153,149.0,18.0,2973.0,349.0,24.0,220.0,1.0,70.0,6.0,17.0,52.0,53.0,5.0,0.0,0.0,0.0,92.0,0.4814814814814815,27.0,1.3333333333333333,1.3333333333333333,True,kernel/futex.c,futex_wait_requeue_pi,9,151,6,24,17,2014
2181,1255,command_port_read_callback_drivers%usb%serial%whiteheat_6817ae225cd650fb1c3295d769298c38b1eba818_CVE-2014-3185,57.0,9.0,835.0,84.0,3.0,78.0,1.0,29.0,1.0,14.0,29.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,drivers/usb/serial/whiteheat.c,command_port_read_callback,12,48,8705,119390,178,2014
2182,1256,udf_get_filename_fs%udf%unicode_0e5cc9a40ada6046e6bc3bdfcd0c0d7e4b706b14_CVE-2014-9731,40.0,8.0,492.0,93.0,6.0,16.0,3.0,10.0,4.0,4.0,10.0,0.0,8.0,0.0,0.0,0.0,10.333333333333334,0.2238562091503268,9.666666666666666,0.6274509803921569,0.6274509803921569,True,fs/udf/unicode.c,udf_get_filename,25,36,8705,119390,191,2014
2183,1257,udf_translate_to_linux_fs%udf%unicode_0e5cc9a40ada6046e6bc3bdfcd0c0d7e4b706b14_CVE-2014-9731,89.0,29.0,492.0,93.0,2.0,16.0,1.0,10.0,5.0,18.0,10.0,0.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,fs/udf/unicode.c,udf_translate_to_linux,31,93,8705,119390,135,2014
2184,1258,try_to_unmap_cluster_mm%rmap_57e68e9cd65b4b8eb4045a1e0d0746458502554c_CVE-2014-3122,98.0,16.0,1738.0,234.0,19.0,240.0,4.0,73.0,4.0,23.0,53.0,21.0,7.0,0.0,0.0,0.0,7.0,0.14705882352941174,5.0,0.4705882352941176,0.4705882352941176,True,mm/rmap.c,try_to_unmap_cluster,28,80,8705,119390,7,2014
2185,1259,dn_nl_deladdr_net%decnet%dn_dev_90f62cf30a78721641e08737bda787552428061e_CVE-2014-0181,42.0,10.0,1444.0,217.0,10.0,90.0,3.0,42.0,2.0,14.0,52.0,0.0,0.0,0.0,0.0,0.0,75.0,2.438867438867439,14.666666666666664,11.607464607464607,11.607464607464607,True,net/decnet/dn_dev.c,dn_nl_deladdr,5,18,67,188,36,2014
2186,1260,inode_owner_or_capable_fs%inode_23adbe12ef7d3d4195e80800ab36b37bee28cd03_CVE-2014-4014,9.0,3.0,1931.0,245.0,5.0,262.0,3.0,96.0,1.0,0.0,77.0,0.0,2.0,0.0,0.0,0.0,40.66666666666666,0.2558479532163743,32.666666666666664,1.4096491228070176,1.4096491228070176,True,fs/inode.c,inode_owner_or_capable,1,2,29,31,82,2014
2187,1261,handle_wrmsr_arch%x86%kvm%vmx_854e8bb1aa06c578c2c9145fa6bfe3680ef63b23_CVE-2014-3610,21.0,2.0,9326.0,1397.0,7.0,710.0,0.0,107.0,1.0,17.0,389.0,0.0,1.0,1.0,0.0,0.0,30.07142857142857,1.1825757575757576,7.333333333333332,2.9367399804496577,2.9367399804496577,True,arch/x86/kvm/vmx.c,handle_wrmsr,3,5,6,70,2,2014
2188,1262,udf_pc_to_char_fs%udf%symlink_0e5cc9a40ada6046e6bc3bdfcd0c0d7e4b706b14_CVE-2014-9731,49.0,9.0,134.0,13.0,7.0,17.0,3.0,10.0,4.0,6.0,2.0,10.0,1.0,1.0,0.0,0.0,10.333333333333334,0.2238562091503268,9.666666666666666,0.6274509803921569,0.6274509803921569,True,fs/udf/symlink.c,udf_pc_to_char,24,39,8705,119390,191,2014
2189,1263,security_context_to_sid_core_security%selinux%ss%services_2172fa709ab32ca60e86179dc67d0857be8e2c98_CVE-2014-1874,61.0,10.0,3260.0,528.0,7.0,169.0,3.0,47.0,6.0,8.0,71.0,6.0,4.0,0.0,0.0,0.0,268.3333333333333,17.60394265232975,27.0,38.47383512544803,38.47383512544803,True,security/selinux/ss/services.c,security_context_to_sid_core,25,40,8,42,9,2014
