,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com
14235,dither_int_to_float_rectangular_c_libavresample%dither,7,2.0,440,68.0,1,5,1,3,3,1,12,0,0,0,0,0,24.0,0.4666666666666667,15.0,1.2,1.2,False,libavresample/dither.c,dither_int_to_float_rectangular_c,0,6,3,16,1168
14236,isHorizMinMaxOk_C_libpostproc%postprocess,20,6.0,1044,163.0,4,120,2,20,3,1,22,0,8,4,0,0,52.5,0.8999999999999999,20.0,2.6,2.6,False,libpostproc/postprocess.c,isHorizMinMaxOk_C,1,16,4,49,776
14237,av_des_alloc_libavutil%des,5,1.0,447,59.0,1,42,1,12,0,0,14,0,0,0,0,0,14.0,0.0,4.0,0.0,0.0,False,libavutil/des.c,av_des_alloc,0,4,1,1,318
14238,av_rc4_init_libavutil%rc4,24,5.0,65,10.0,3,9,1,6,4,10,3,1,1,0,1,0,17.0,3.4,20.0,7.9,7.9,False,libavutil/rc4.c,av_rc4_init,0,10,9,9,179
14239,lrintf_mips_libavutil%mips%libm_mips.h,11,1.0,73,1.0,2,2,1,2,1,1,1,0,0,0,0,0,126.0,0.4444444444444444,9.0,1.5555555555555556,1.5555555555555556,False,libavutil/mips/libm_mips.h,lrintf_mips,0,12,13,35,17
14240,av_sha512_init_libavutil%sha512,51,5.0,345,30.0,2,5,1,3,2,0,7,4,0,0,1,0,14.0,0.0,4.0,0.0,0.0,False,libavutil/sha512.c,av_sha512_init,0,50,9,9,179
14241,avresample_alloc_context_libavresample%options,14,2.0,113,3.0,2,19,1,7,0,1,2,0,0,0,0,0,24.0,0.4666666666666667,15.0,1.2,1.2,False,libavresample/options.c,avresample_alloc_context,0,20,10,47,1168
14242,av_opencl_uninit_libavutil%opencl,38,9.0,875,130.0,10,33,6,15,0,2,27,1,0,0,0,0,33.833333333333336,0.3851851851851851,9.333333333333334,1.1,1.1,False,libavutil/opencl.c,av_opencl_uninit,19,37,2,19,2
14243,av_murmur3_final_libavutil%murmur3,17,3.0,192,21.0,1,3,1,2,2,8,12,0,0,0,1,0,17.0,3.4,20.0,7.9,7.9,False,libavutil/murmur3.c,av_murmur3_final,0,15,1,11,1003
14244,ff_log2_16bit_c_libavutil%intmath.h,12,2.0,159,9.0,11,33,7,12,1,2,5,0,1,0,0,0,132.57142857142858,0.8989201806550434,54.57142857142857,2.2945716200387443,2.2945716200387443,False,libavutil/intmath.h,ff_log2_16bit_c,0,11,3,6,899
14245,ff_get_cpu_flags_x86_libavutil%x86%cpu,171,43.0,231,45.0,21,59,6,12,0,16,2,56,0,0,0,0,24.0,0.8310966810966809,17.333333333333332,1.4724386724386724,1.4724386724386724,False,libavutil/x86/cpu.c,ff_get_cpu_flags_x86,16,27,27,32,18
14246,av_cmp_sf_libavutil%softfloat.h,13,4.0,259,39.0,5,45,2,12,2,6,14,0,0,0,0,0,63.0,0.2222222222222222,7.0,0.7777777777777778,0.7777777777777778,False,libavutil/softfloat.h,av_cmp_sf,1,5,4,25,25
14247,av_log_get_flags_libavutil%log,5,1.0,455,97.0,1,125,1,30,0,0,21,0,0,0,0,0,126.0,0.4444444444444444,9.0,1.5555555555555556,1.5555555555555556,False,libavutil/log.c,av_log_get_flags,0,4,1,1,13122
14248,pp_free_mode_libpostproc%postprocess,5,1.0,1044,163.0,3,120,2,20,1,0,22,0,0,0,0,0,91.0,0.846875,98.5,1.3677083333333333,1.3677083333333333,False,libpostproc/postprocess.c,pp_free_mode,1,1,1,6,695
14252,av_opencl_free_option_libavutil%opencl,10,1.0,875,130.0,3,33,2,15,0,0,27,3,0,0,0,0,36.0,0.9333333333333332,19.0,2.3,2.3,False,libavutil/opencl.c,av_opencl_free_option,2,7,2,19,18
14253,avresample_config_libavresample%utils,22,4.0,792,202.0,1,49,1,7,3,0,20,0,3,0,0,0,148.0,1.09375,192.0,2.1354166666666665,2.1354166666666665,False,libavresample/utils.c,avresample_config,0,20,1,5,695
14254,read_number_libavutil%opt,39,13.0,2197,626.0,10,232,4,26,5,0,73,0,0,9,2,0,55.75,0.4303418803418803,16.5,2.1115384615384616,2.1115384615384616,False,libavutil/opt.c,read_number,6,14,1,12,172
14255,av_samples_fill_arrays_libavutil%samplefmt,27,5.0,252,64.0,6,39,4,13,7,4,14,0,1,1,0,0,19.25,0.26666666666666666,8.25,0.5611111111111111,0.5611111111111111,False,libavutil/samplefmt.c,av_samples_fill_arrays,12,18,1,3,318
14256,av_dict_set_libavutil%dict,77,21.0,366,73.0,17,42,6,17,4,38,13,0,10,2,0,0,58.83333333333334,0.8838642838642837,14.833333333333336,3.013921263921264,3.013921263921264,False,libavutil/dict.c,av_dict_set,24,39,2,9,2
14257,lrint_libavutil%libm.h,5,1.0,452,44.0,1,32,1,9,1,0,17,0,0,0,0,0,30.0,3.571428571428572,14.0,5.928571428571429,5.928571428571429,False,libavutil/libm.h,lrint,0,4,2,10,899
14258,av_opencl_buffer_release_libavutil%opencl,14,3.0,875,130.0,4,33,2,15,1,2,27,0,1,0,0,0,3.0,0.3333333333333333,6.0,0.2222222222222222,0.2222222222222222,False,libavutil/opencl.c,av_opencl_buffer_release,2,11,1,19,18
14259,av_xtea_crypt_libavutil%xtea,6,1.0,354,48.0,1,29,1,11,6,0,10,0,0,0,0,0,139.0,7.936507936507938,63.0,17.142857142857142,17.142857142857142,False,libavutil/xtea.c,av_xtea_crypt,12,30,1,7,39
14260,av_lzo1x_decode_libavutil%lzo,73,17.0,260,41.0,10,40,3,8,4,8,7,0,8,2,0,0,59.0,1.4814814814814812,11.333333333333336,3.351851851851852,3.351851851851852,False,libavutil/lzo.c,av_lzo1x_decode,8,29,4,11,1003
14261,set_string_bool_libavutil%opt,32,8.0,2197,626.0,1,232,1,26,4,4,73,0,17,0,0,0,71.0,1.2,35.0,4.6,4.6,False,libavutil/opt.c,set_string_bool,0,30,1,12,776
14262,av_sha_update_libavutil%sha,28,5.0,404,41.0,1,31,0,9,3,2,8,0,0,0,1,0,42.0,0.5052446498715173,13.0,1.565934065934066,1.565934065934066,False,libavutil/sha.c,av_sha_update,0,1,1,7,728
