,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com
1138,BN_abs_is_word_crypto%bn%bn_lib,6,4.0,1011,195.0,2,108,1,14,2,0,50,0,0,0,1,0,62.0,0.4,10.0,1.5,1.5,False,crypto/bn/bn_lib.c,BN_abs_is_word,0,4,848,7132,289
1139,BN_GF2m_mod_sqr_crypto%bn%bn_gf2m,23,4.0,1295,230.0,6,51,4,12,4,9,23,0,0,0,0,0,53.5,1.0875,8.5,4.1875,4.1875,False,crypto/bn/bn_gf2m.c,BN_GF2m_mod_sqr,15,22,848,7132,175
1140,cmac_key_free_crypto%cmac%cm_ameth,6,1.0,50,2.0,3,8,3,4,1,5,2,0,0,1,1,0,60.66666666666666,0.2901960784313726,9.666666666666666,1.147058823529412,1.147058823529412,False,crypto/cmac/cm_ameth.c,cmac_key_free,5,6,848,7132,175
1141,BN_set_flags_crypto%bn%bn_lib,5,1.0,1011,195.0,2,108,1,14,2,0,50,0,0,0,1,0,62.0,0.4,10.0,1.5,1.5,False,crypto/bn/bn_lib.c,BN_set_flags,0,4,848,7132,289
1142,CMAC_CTX_free_crypto%cmac%cmac,9,2.0,226,50.0,3,13,3,6,1,0,11,0,1,0,0,0,60.66666666666666,0.2901960784313726,9.666666666666666,1.147058823529412,1.147058823529412,False,crypto/cmac/cmac.c,CMAC_CTX_free,4,5,848,7132,175
1143,BN_mod_add_crypto%bn%bn_mod,8,2.0,321,59.0,5,14,3,8,5,0,11,0,3,0,0,0,27.0,0.13333333333333333,4.666666666666667,0.5,0.5,False,crypto/bn/bn_mod.c,BN_mod_add,5,7,848,7132,289
1144,BN_RECP_CTX_init_crypto%bn%bn_recp,7,1.0,194,38.0,5,40,2,15,1,0,7,0,0,0,1,0,65.5,0.4352941176470588,13.5,1.2205882352941178,1.2205882352941178,False,crypto/bn/bn_recp.c,BN_RECP_CTX_init,2,6,848,7132,175
1145,CMAC_Final_crypto%cmac%cmac,32,10.0,226,50.0,4,13,3,6,3,3,11,3,5,1,1,0,60.33333333333334,0.2285714285714285,11.0,0.8650793650793651,0.8650793650793651,False,crypto/cmac/cmac.c,CMAC_Final,25,26,848,7132,289
1146,make_kn_crypto%cmac%cmac,19,4.0,226,50.0,3,13,3,6,3,8,11,6,0,0,0,0,59.0,0.7999999999999999,5.333333333333333,2.583333333333333,2.583333333333333,False,crypto/cmac/cmac.c,make_kn,9,14,848,7132,289
1147,BN_mod_sub_crypto%bn%bn_mod,8,2.0,307,43.0,3,14,2,8,5,0,11,0,3,0,0,0,33.5,0.2,5.5,0.75,0.75,False,crypto/bn/bn_mod.c,BN_mod_sub,5,7,848,7132,289
1148,BN_reciprocal_crypto%bn%bn_recp,22,4.0,194,38.0,13,40,4,15,4,3,7,0,5,0,0,0,37.25,0.17142857142857146,8.75,0.39880952380952384,0.39880952380952384,False,crypto/bn/bn_recp.c,BN_reciprocal,20,39,848,7132,196
1149,BN_get_word_crypto%bn%bn_lib,12,3.0,984,199.0,9,108,3,14,1,0,50,3,3,0,1,0,48.0,0.2285714285714285,11.333333333333336,0.5317460317460317,0.5317460317460317,False,crypto/bn/bn_lib.c,BN_get_word,4,8,848,7132,196
1150,bn_compute_wNAF_crypto%bn%bn_intern,128,22.0,199,33.0,4,7,2,5,3,14,11,35,9,0,0,0,65.5,0.4352941176470588,13.5,1.2205882352941178,1.2205882352941178,False,crypto/bn/bn_intern.c,bn_compute_wNAF,13,119,848,7132,175
1151,CMS_signed_delete_attr_crypto%cms%cms_att,5,1.0,152,28.0,2,3,2,3,2,0,20,0,0,0,1,0,56.5,0.2,6.0,1.25,1.25,False,crypto/cms/cms_att.c,CMS_signed_delete_attr,0,4,848,7132,289
1152,CMS_signed_get_attr_by_OBJ_crypto%cms%cms_att,6,1.0,152,28.0,2,3,2,3,3,0,20,0,0,0,1,0,56.5,0.2,6.0,1.25,1.25,False,crypto/cms/cms_att.c,CMS_signed_get_attr_by_OBJ,0,5,848,7132,289
1153,BN_from_montgomery_crypto%bn%bn_mont,48,12.0,536,82.0,1,76,1,14,4,3,9,2,2,0,0,0,64.0,2.0,4.0,5.25,5.25,False,crypto/bn/bn_mont.c,BN_from_montgomery,43,91,848,7132,196
1154,BN_set_negative_crypto%bn%bn_lib,8,3.0,984,199.0,2,108,1,14,2,0,50,0,2,0,0,0,62.0,0.4,10.0,1.5,1.5,False,crypto/bn/bn_lib.c,BN_set_negative,0,7,848,7132,136
1155,BN_GF2m_mod_solve_quad_arr_crypto%bn%bn_gf2m,110,28.0,1295,230.0,11,51,5,12,4,11,23,8,13,0,0,0,42.6,0.5371428571428571,7.8,1.369047619047619,1.369047619047619,False,crypto/bn/bn_gf2m.c,BN_GF2m_mod_solve_quad_arr,72,97,848,7132,251
1156,CMS_signed_add1_attr_by_txt_crypto%cms%cms_att,10,2.0,152,28.0,2,3,2,3,5,0,20,0,5,0,0,0,56.5,0.2,6.0,1.25,1.25,False,crypto/cms/cms_att.c,CMS_signed_add1_attr_by_txt,0,8,848,7132,289
1157,BN_rshift_crypto%bn%bn_shift,61,12.0,257,40.0,8,18,4,10,3,9,4,2,9,0,0,5,52.0,0.6714285714285715,9.5,1.7113095238095235,1.7113095238095235,False,crypto/bn/bn_shift.c,BN_rshift,5,42,848,7132,196
1158,BN_div_word_crypto%bn%bn_word,43,8.0,201,40.0,10,21,2,10,2,6,5,7,7,2,0,0,38.0,0.2,6.5,0.75,0.75,False,crypto/bn/bn_word.c,BN_div_word,9,33,848,7132,136
1159,CMS_unsigned_get_attr_by_OBJ_crypto%cms%cms_att,6,1.0,152,28.0,2,3,2,3,3,0,20,0,0,0,1,0,56.5,0.2,6.0,1.25,1.25,False,crypto/cms/cms_att.c,CMS_unsigned_get_attr_by_OBJ,0,5,848,7132,289
1160,bn_get_words_crypto%bn%bn_intern,5,1.0,254,35.0,1,7,1,5,1,0,11,0,0,0,1,0,62.0,0.4,10.0,1.5,1.5,False,crypto/bn/bn_intern.c,bn_get_words,0,4,3,30,289
1161,CMS_unsigned_delete_attr_crypto%cms%cms_att,5,1.0,152,28.0,2,3,2,3,2,0,20,0,0,0,1,0,56.5,0.2,6.0,1.25,1.25,False,crypto/cms/cms_att.c,CMS_unsigned_delete_attr,0,4,848,7132,289
1162,BN_is_odd_crypto%bn%bn_lib,5,2.0,984,199.0,2,108,1,14,1,0,50,0,0,0,1,0,62.0,0.4,10.0,1.5,1.5,False,crypto/bn/bn_lib.c,BN_is_odd,0,4,848,7132,289
1163,bn_init_crypto%bn%bn_lib,8,1.0,984,199.0,7,108,3,14,1,1,50,0,0,0,0,0,48.33333333333334,0.2901960784313726,10.0,0.8137254901960785,0.8137254901960785,False,crypto/bn/bn_lib.c,bn_init,0,4,5,7,175
1164,bn_x931_derive_pi_crypto%bn%bn_x931p,27,8.0,244,51.0,2,5,2,4,4,2,4,3,8,0,0,0,56.5,0.2,6.0,1.25,1.25,False,crypto/bn/bn_x931p.c,bn_x931_derive_pi,0,21,848,7132,289
1165,CMS_unsigned_add1_attr_by_txt_crypto%cms%cms_att,10,2.0,152,28.0,2,3,2,3,5,0,20,0,5,0,0,0,56.5,0.2,6.0,1.25,1.25,False,crypto/cms/cms_att.c,CMS_unsigned_add1_attr_by_txt,0,8,848,7132,289
1166,BN_GENCB_get_arg_crypto%bn%bn_lib,5,1.0,984,199.0,2,108,1,14,1,0,50,0,0,0,1,0,62.0,0.4,10.0,1.5,1.5,False,crypto/bn/bn_lib.c,BN_GENCB_get_arg,0,4,848,7132,289
1167,BN_mod_mul_montgomery_crypto%bn%bn_mont,11,1.0,464,88.0,24,76,6,14,5,8,9,0,28,0,0,0,44.0,0.4476190476190476,6.833333333333332,1.3075396825396826,1.3075396825396826,False,crypto/bn/bn_mont.c,BN_mod_mul_montgomery,20,40,848,7132,196
1168,cms_DigestedData_create_crypto%cms%cms_dd,28,3.0,99,12.0,5,12,3,6,1,2,3,0,0,0,1,0,60.66666666666666,0.2901960784313726,9.666666666666666,1.147058823529412,1.147058823529412,False,crypto/cms/cms_dd.c,cms_DigestedData_create,20,30,848,7132,175
1169,BN_set_word_crypto%bn%bn_lib,13,3.0,984,199.0,4,108,2,14,2,0,50,0,1,1,0,0,38.0,0.2,6.5,0.75,0.75,False,crypto/bn/bn_lib.c,BN_set_word,10,10,848,7132,196
1170,BN_num_bits_crypto%bn%bn_lib,10,2.0,1011,195.0,9,108,3,14,1,4,50,0,1,0,0,0,59.0,0.7999999999999999,5.333333333333333,2.583333333333333,2.583333333333333,False,crypto/bn/bn_lib.c,BN_num_bits,3,7,848,7132,196
1171,Camellia_EncryptBlock_Rounds_crypto%camellia%camellia,52,7.0,501,22.0,6,10,3,5,4,11,5,8,0,0,0,0,43.66666666666666,0.7999999999999999,5.0,2.25,2.25,False,crypto/camellia/camellia.c,Camellia_EncryptBlock_Rounds,0,45,848,7132,289
1172,cms_DigestedData_do_final_crypto%cms%cms_dd,47,8.0,99,12.0,5,12,4,6,3,9,3,0,2,1,0,0,48.75,0.17142857142857146,9.0,0.6488095238095238,0.6488095238095238,False,crypto/cms/cms_dd.c,cms_DigestedData_do_final,40,45,848,7132,251
1173,cms_EncryptedData_init_bio_crypto%cms%cms_enc,8,3.0,213,42.0,5,21,2,7,1,5,4,0,0,0,2,0,56.5,0.2,6.0,1.25,1.25,False,crypto/cms/cms_enc.c,cms_EncryptedData_init_bio,6,10,848,7132,289
1174,BN_mod_lshift1_crypto%bn%bn_mod,9,2.0,321,59.0,4,14,3,8,4,0,11,0,2,0,0,0,27.0,0.13333333333333333,4.666666666666667,0.5,0.5,False,crypto/bn/bn_mod.c,BN_mod_lshift1,5,6,848,7132,251
1175,BUF_MEM_free_crypto%buffer%buffer,13,4.0,165,29.0,7,27,3,10,1,0,7,0,4,1,0,0,66.33333333333333,0.38543417366946775,16.0,0.8454715219421102,0.8454715219421102,False,crypto/buffer/buffer.c,BUF_MEM_free,5,9,848,7132,175
1176,BN_mpi2bn_crypto%bn%bn_mpi,48,10.0,86,15.0,8,10,3,7,3,3,2,0,7,5,0,0,48.0,0.2285714285714285,11.333333333333336,0.5317460317460317,0.5317460317460317,False,crypto/bn/bn_mpi.c,BN_mpi2bn,1,34,848,7132,196
1177,bn_add_part_words_crypto%bn%bn_mul,161,41.0,1099,214.0,14,51,7,13,5,9,9,0,86,0,0,0,35.57142857142857,0.4222835079977937,16.285714285714285,1.1033737819452103,1.1033737819452103,False,crypto/bn/bn_mul.c,bn_add_part_words,158,170,848,7132,1
1178,CMS_RecipientInfo_ktri_get0_algs_crypto%cms%cms_env,22,5.0,903,155.0,2,32,2,6,4,1,28,0,4,0,2,0,56.5,0.2,6.0,1.25,1.25,False,crypto/cms/cms_env.c,CMS_RecipientInfo_ktri_get0_algs,0,22,848,7132,289
1179,cms_RecipientInfo_ktri_encrypt_crypto%cms%cms_env,65,10.0,903,155.0,7,32,3,6,2,9,28,0,4,0,2,0,60.66666666666666,0.2901960784313726,9.666666666666666,1.147058823529412,1.147058823529412,False,crypto/cms/cms_env.c,cms_RecipientInfo_ktri_encrypt,62,65,848,7132,175
1180,CMS_RecipientInfo_get0_pkey_ctx_crypto%cms%cms_env,9,3.0,903,155.0,3,32,2,6,1,0,28,0,3,0,2,0,56.5,0.2,6.0,1.25,1.25,False,crypto/cms/cms_env.c,CMS_RecipientInfo_get0_pkey_ctx,6,7,848,7132,289
